Name of hospital or clinic,Hospital rate,Location_Lat,Location_Lon,State,Number of Doctors,Number of patients in 2020,Number of patients in 2021,Number of patients in 2022,Number of patients in 2023,Number of patients in 2024,Number of patients in 2025,Types of treatment it contains,total cost of the hospital in 2020 (million AED),total cost of the hospital in 2021 (million AED),total cost of the hospital in 2022 (million AED),total cost of the hospital in 2023 (million AED),total cost of the hospital in 2024 (million AED),total cost of the hospital in 2025 (million AED),total income of the hospital in 2020 (million AED),total income of the hospital in 2021 (million AED),total income of the hospital in 2022 (million AED),total income of the hospital in 2023 (million AED),total income of the hospital in 2024 (million AED),total income of the hospital in 2025 (million AED),total number of surgeries in 2020,total number of surgeries in 2021,total number of surgeries in 2022,total number of surgeries in 2023,total number of surgeries in 2024,total number of surgeries in 2025,number of customers make reviews for the hospital,number of reviews,positive reviews,negative reviews,most repeated keywords for the hospital in positive reviews,most repeated keywords for the hospital in negative reviews
Hayat Clinic,Very Good,25.392654,55.520605,Ajman,687,53141,56890,52185,49486,47975,50984,Physiotherapy and Rehabilitation; General Surgery; Dermatology; Obstetrics and Gynecology (OB/GYN); Dental and Oral Surgery; Anesthesiology,16.81,16.87,16.47,16.69,16.75,18.02,25.09,25.04,21.79,20.07,21.29,21.15,1069,1273,1234,1472,1431,1641,414,6210,1967,4243,Accurate diagnosis; Knowledgeable,Incompetent; Understaffed; Frustrating; Overpriced
Saada Emirates,Bad,25.425304,55.5353,Ajman,130,79279,86057,98068,94723,105710,97052,"Radiology; Cardiology; Obstetrics and Gynecology (OB/GYN); Oncology (Cancer treatment); Dental and Oral Surgery; Pediatrics; Ear, Nose, and Throat (ENT) / Otolaryngology; Pathology and Laboratory Services; Neurology; Nephrology (Kidney care); General Surgery",172.13,187.33,190.74,188.47,188.13,192.51,138.58,234.51,276.34,219.98,264.49,205.82,1694,1932,1712,1938,2188,2331,371,11130,5164,5966,Personalized care; Patient,Painful; Rude; Not responsive; Unsafe
Noor Clinic,Acceptable,25.810305,56.004989,Ras Al Khaimah,885,6962,6460,6797,6334,6679,6237,Obstetrics and Gynecology (OB/GYN); Gastroenterology (Digestive system); Oncology (Cancer treatment); Orthopedics; Radiology; Dental and Oral Surgery; Emergency Medicine; Pathology and Laboratory Services; Neurology; Intensive Care Unit (ICU); Anesthesiology; Pulmonology (Respiratory care); Urology,127.54,121.67,130,128.23,127.8,135.3,111.99,160,185.36,145.61,179.35,134.51,242,207,194,203,192,207,401,25263,13132,12131,Modern; Clean rooms; Quick response; Calm; Reassuring,Billing issues; Miscommunication; Dirty toilets; Poor follow-up
Al Shifa Watani Modern,Good,25.498636,56.111662,Fujairah,301,24276,24286,24539,27001,28775,32220,Dermatology; Pediatrics; Intensive Care Unit (ICU); Ophthalmology (Eye care); Oncology (Cancer treatment); Infectious Diseases,102.47,98.59,101.16,98.9,107.97,107.39,151.03,124.93,112.32,147.83,87.98,87.57,2613,3240,3330,3766,3256,3368,769,63058,17643,45415,Well-managed; Gentle,Dirty
Pediatric Care City,Acceptable,25.140222,55.486758,Dubai,488,86652,96678,88940,91811,97433,111547,"Pediatrics; Internal Medicine; Dental and Oral Surgery; Neurology; Intensive Care Unit (ICU); Pulmonology (Respiratory care); Infectious Diseases; Ear, Nose, and Throat (ENT) / Otolaryngology; Urology; Nephrology (Kidney care); Obstetrics and Gynecology (OB/GYN); Psychiatry and Mental Health; Orthopedics",76.16,82.98,87.51,86.49,85.03,92.07,69.09,119.11,79.84,80.29,77.58,107.56,339,315,311,279,244,275,814,69190,31326,37864,High standards; Trustworthy,Arrogant; Incompetent; Long wait; Untrustworthy; Disrespectful
Hikma Medical Center,Good,25.511071,55.610269,Umm Al Quwain,70,50260,51271,55888,61800,70487,71006,"Ear, Nose, and Throat (ENT) / Otolaryngology; Radiology; Dental and Oral Surgery; Ophthalmology (Eye care); Dermatology; Psychiatry and Mental Health; Oncology (Cancer treatment); Emergency Medicine; General Surgery",116.7,119.08,113.14,108.8,108.92,115.88,165.47,119.39,134.4,138.41,106.25,144.8,3259,2955,3337,3319,3135,2878,441,14994,7522,7472,Positive experience; Respectful; Excellent; Clean; Thorough,Frustrating
Mustashfa Shifa Dowaly,Very Good,24.837919,55.20494,Dubai,624,16570,16931,17196,18950,17818,18419,Intensive Care Unit (ICU); Ophthalmology (Eye care); Endocrinology (Hormonal disorders); Dermatology; Radiology; Orthopedics; Dental and Oral Surgery,29.67,29.32,29.45,29.39,31.68,32.86,43.2,42.32,29.11,38.56,29.38,44.87,1503,1679,1572,1430,1244,1494,483,14490,8281,6209,High standards; Respectful; Knowledgeable; Recommended,Indifferent
Amal Diagnostic Center,Good,25.023781,56.30439,Fujairah,162,26656,30106,32105,33362,37589,35307,Orthopedics; Radiology; Dermatology; Gastroenterology (Digestive system); Internal Medicine; General Surgery; Neurology; Pediatrics; Dental and Oral Surgery; Emergency Medicine; Psychiatry and Mental Health; Endocrinology (Hormonal disorders); Oncology (Cancer treatment); Infectious Diseases,90.39,97.84,95.16,92.21,89.38,92.79,89.67,144.14,82.34,100.56,120.37,133.54,476,558,683,706,839,737,746,55204,24030,31174,Satisfied; Good bedside manner; Modern; Calm,Not recommended
Al Hayat Noor,Bad,25.84287,55.978711,Ras Al Khaimah,641,1556,1460,1346,1510,1464,1643,"Neurology; Dental and Oral Surgery; Ear, Nose, and Throat (ENT) / Otolaryngology; Intensive Care Unit (ICU); Physiotherapy and Rehabilitation; Anesthesiology; Internal Medicine",164.2,176.28,192.06,208.88,228.71,229.33,223.46,214.21,222.99,293.97,189.81,262.04,39,36,44,49,54,58,175,3150,1947,1203,Caring,Dirty; Incompetent; No explanation; Misdiagnosis; Arrogant
Ilaj Polyclinic,Very Bad,24.818818,55.351339,Dubai,990,84386,76828,75830,77108,69486,67378,Pulmonology (Respiratory care); Oncology (Cancer treatment); Cardiology; Intensive Care Unit (ICU); Infectious Diseases; Dental and Oral Surgery; Radiology; Pediatrics,42.3,40.59,43.9,45.19,48.69,47.96,50.7,41.5,42.87,62.08,61.95,65.53,4074,4398,4052,4479,4860,5725,117,4446,1987,2459,Skilled; Trustworthy; Painless,Chaotic; Lack of care
Amal Clinic,Very Good,25.540701,55.947839,Ras Al Khaimah,158,93116,94082,88680,98055,91703,83972,Infectious Diseases; Pediatrics; Anesthesiology; Nephrology (Kidney care); Endocrinology (Hormonal disorders); Dental and Oral Surgery,22.13,21.38,20.36,20.1,21.69,23.31,29.19,26.7,16.83,17.96,27.38,29.96,4005,4559,5461,6597,8236,8902,262,20698,9693,11005,Prompt attention; Clean environment; Human touch,Unprofessional
Al Hayat Diagnostic Center,Bad,25.072723,56.183212,Fujairah,868,47172,47609,45085,46663,53127,53333,Gastroenterology (Digestive system); Internal Medicine; Pathology and Laboratory Services; Obstetrics and Gynecology (OB/GYN); Radiology; Pulmonology (Respiratory care); Cardiology; Anesthesiology; Ophthalmology (Eye care); Pediatrics; General Surgery; Intensive Care Unit (ICU); Emergency Medicine; Neurology,5.48,5.78,6.04,5.75,5.57,5.82,7.65,6.74,5.56,8.49,7.72,6.91,4497,4826,5004,4633,4420,5513,982,67758,49733,18025,Comforting,Lack of privacy; Crowded; Rude; Disorganized; Understaffed
Wahat Shifa Takhassusi,Very Bad,25.360039,56.130472,Fujairah,157,55743,53096,52360,56451,55750,54956,Intensive Care Unit (ICU); Oncology (Cancer treatment); Dental and Oral Surgery; Infectious Diseases; Ophthalmology (Eye care),196.03,199.77,212.32,208.53,205.51,201.09,228.25,295.56,176.46,282.15,302.96,266.5,1947,2091,2535,2760,3036,3592,695,38225,21871,16354,Human touch; Reassuring; Prompt attention; Clean environment; Follow-up care,No empathy; Bad experience; Not recommended; Disrespectful; Miscommunication
Saada Specialist Hospital,Very Good,25.196268,55.459678,Sharjah,973,46958,53188,52382,53500,48771,52654,Ophthalmology (Eye care); Neurology; Oncology (Cancer treatment); Infectious Diseases; Orthopedics; Radiology; Nephrology (Kidney care); Cardiology; Pathology and Laboratory Services; Intensive Care Unit (ICU); Pediatrics; Dermatology,11.22,11.34,11.08,11.93,12.96,13.17,16.79,10.73,13.88,13.57,15.57,15.63,4482,5318,4620,4877,5724,5233,78,1326,728,598,Knowledgeable; Safe; Recommended; High standards,Incompetent
Al Hayat Saada,Very Bad,25.180827,56.226105,Fujairah,280,22252,21367,20008,19842,21971,22933,"Ophthalmology (Eye care); General Surgery; Oncology (Cancer treatment); Nephrology (Kidney care); Ear, Nose, and Throat (ENT) / Otolaryngology; Endocrinology (Hormonal disorders); Infectious Diseases; Anesthesiology; Dental and Oral Surgery",61.75,64.21,64.43,62.38,68.57,67.06,85.51,92.25,92.61,82.62,78.04,74.83,1827,1590,1972,2335,2249,2237,897,2691,1820,871,Quick response,Painful; Overcrowded
Al Hikma Diagnostic Center,Good,23.698306,53.862554,Abu Dhabi,40,69432,73957,79250,81095,88720,82817,"General Surgery; Ophthalmology (Eye care); Pathology and Laboratory Services; Pediatrics; Anesthesiology; Radiology; Orthopedics; Cardiology; Ear, Nose, and Throat (ENT) / Otolaryngology; Neurology; Internal Medicine; Dental and Oral Surgery",140.82,152.2,154.29,151.81,165.77,162.37,149.42,191.39,151.5,213.48,235.08,168.51,2781,2517,2623,2384,2867,3494,154,7238,2595,4643,Courteous; Respectful,Hidden charges
Afia Specialist Hospital,Very Bad,23.632488,54.957265,Abu Dhabi,843,23547,26112,28062,29173,29646,27589,Pediatrics; General Surgery; Gastroenterology (Digestive system); Dermatology; Physiotherapy and Rehabilitation; Urology; Cardiology,1.55,1.6,1.56,1.61,1.55,1.52,1.74,1.37,1.49,1.63,1.44,2.19,1653,1517,1767,1604,1385,1449,889,63119,47240,15879,Clean,Poor hygiene; Stressed; Disorganized; Arrogant; Slow
Al Noor Noor Medical Center,Very Good,25.358271,55.544306,Ajman,890,80543,89870,97338,102744,118072,119836,Gastroenterology (Digestive system); Intensive Care Unit (ICU); Anesthesiology; Oncology (Cancer treatment); Pulmonology (Respiratory care),133.56,128.87,141.65,153.23,168.34,181.57,196.44,134.07,202.25,193.83,182.58,238.49,2287,2505,2562,2554,2753,2765,194,11058,6282,4776,Supportive; Caring; Clean environment,Painful; Lack of care; Misdiagnosis; Not responsive; Insensitive
Al Rahma Takhassusi,Bad,23.889271,54.957465,Abu Dhabi,772,99593,93183,84347,92475,90327,103807,Infectious Diseases; Dermatology; Psychiatry and Mental Health; Urology; Cardiology; Internal Medicine; Endocrinology (Hormonal disorders); Pulmonology (Respiratory care),120.32,126.29,126.29,123.55,134.29,139.98,173.36,154.67,171.22,130.77,150.02,151.39,4415,4605,5689,5164,6087,5641,262,17292,7511,9781,High standards,Untrustworthy; Indifferent
Al Noor Amal,Acceptable,25.90925,56.044701,Ras Al Khaimah,756,42432,45179,49625,47167,47533,50930,Gastroenterology (Digestive system); Nephrology (Kidney care); Obstetrics and Gynecology (OB/GYN); Psychiatry and Mental Health; Oncology (Cancer treatment); Neurology; Pediatrics; Urology; Dental and Oral Surgery; Radiology; Pulmonology (Respiratory care); Emergency Medicine; Cardiology,185.54,183.13,174.84,191.81,184.49,189.23,200.69,237.85,256.91,269.54,197.74,208.85,2357,2144,1961,2322,2026,1833,341,12958,5400,7558,Timely care; Compassionate; High standards; Satisfied,Dirty toilets; No empathy; No explanation; Poor follow-up; Unhygienic
Ilaj Khaleej Al Sihi,Very Good,25.70593,56.013175,Ras Al Khaimah,99,89925,94044,105590,113537,106020,110132,"General Surgery; Intensive Care Unit (ICU); Obstetrics and Gynecology (OB/GYN); Ear, Nose, and Throat (ENT) / Otolaryngology; Cardiology; Pulmonology (Respiratory care); Psychiatry and Mental Health; Pediatrics",83.07,87.64,91.69,88.42,87.34,92.43,70.4,88.93,77.03,118.83,112.27,84.33,3189,2950,3060,3339,3562,3687,859,77310,59765,17545,Safe; Patient; Fast service,Lack of privacy; Not recommended
Al Hikma Takhassusi Lil Tibb,Very Bad,25.660937,56.022334,Ras Al Khaimah,210,48189,50619,52259,48376,54726,50991,"Pathology and Laboratory Services; Psychiatry and Mental Health; Emergency Medicine; Urology; Cardiology; Internal Medicine; Anesthesiology; Physiotherapy and Rehabilitation; Neurology; Infectious Diseases; Endocrinology (Hormonal disorders); Radiology; General Surgery; Ear, Nose, and Throat (ENT) / Otolaryngology; Oncology (Cancer treatment)",55.49,60.84,59.67,60.5,58.62,59.96,80.59,53.7,63.98,55.21,59.55,78.65,2273,2610,2622,2902,2640,2637,394,10638,5148,5490,Satisfied,Outdated equipment; Long wait
Al Amal Medical Center,Good,24.142618,54.176528,Abu Dhabi,311,13330,12125,12273,13802,12914,11975,"Emergency Medicine; Anesthesiology; Ear, Nose, and Throat (ENT) / Otolaryngology; Oncology (Cancer treatment); Cardiology; Internal Medicine; Radiology; General Surgery; Orthopedics; Nephrology (Kidney care); Obstetrics and Gynecology (OB/GYN); Dental and Oral Surgery",139.58,139.22,153.06,151.3,148.11,161.23,185.5,135.98,149.11,152.63,221.95,241.15,145,140,121,137,140,124,877,57882,38701,19181,Comforting; Accurate diagnosis; Positive experience; Attentive; Professional,Understaffed
Wahat Saada Mustaqbal,Bad,25.386134,55.459948,Ajman,77,20848,20801,19395,18877,20378,21638,Neurology; Endocrinology (Hormonal disorders); Physiotherapy and Rehabilitation; Psychiatry and Mental Health; General Surgery; Intensive Care Unit (ICU); Urology; Radiology; Emergency Medicine; Ophthalmology (Eye care),150.31,159.7,164.02,167.9,163.41,169.66,162.81,154.28,132.64,228.19,207.67,239.64,1714,1723,1475,1511,1565,1887,94,7050,4762,2288,Efficient,Dirty toilets; Mismanaged; Unprofessional; Frustrating; Crowded
Shifa Specialist Hospital,Very Bad,25.53332,56.080721,Ras Al Khaimah,531,61636,64475,71423,75867,82981,88180,"Cardiology; Gastroenterology (Digestive system); Nephrology (Kidney care); Psychiatry and Mental Health; Oncology (Cancer treatment); Ophthalmology (Eye care); Anesthesiology; Pediatrics; Physiotherapy and Rehabilitation; Neurology; Endocrinology (Hormonal disorders); Pulmonology (Respiratory care); Emergency Medicine; Ear, Nose, and Throat (ENT) / Otolaryngology; Pathology and Laboratory Services",89.69,95.92,97.45,95.61,104.51,114.24,119.48,81.76,123.26,111.54,86.12,126.38,132,123,125,123,106,126,817,38399,27330,11069,Comforting,Rude; Inattentive
General Clinic Community,Bad,25.473694,55.731609,Umm Al Quwain,459,66398,61965,58644,66624,74743,79087,Dermatology; Emergency Medicine; Radiology; Ophthalmology (Eye care); Obstetrics and Gynecology (OB/GYN); Physiotherapy and Rehabilitation; Anesthesiology; Infectious Diseases; Pediatrics; Oncology (Cancer treatment); Gastroenterology (Digestive system); Nephrology (Kidney care); Endocrinology (Hormonal disorders),78.74,75.38,80.24,77.25,77.41,82.76,88.25,89.11,111.43,65.11,83.85,75.12,252,273,317,367,399,392,596,56024,32925,23099,Kind,Dirty toilets; Mismanaged; No empathy; Overcrowded
Hikma Specialist Hospital,Very Bad,24.86146,55.02883,Dubai,897,13166,12933,13297,13019,14110,14878,Dermatology; Pathology and Laboratory Services; Neurology; Physiotherapy and Rehabilitation; General Surgery; Gastroenterology (Digestive system); Nephrology (Kidney care); Oncology (Cancer treatment); Radiology; Psychiatry and Mental Health; Infectious Diseases; Emergency Medicine; Obstetrics and Gynecology (OB/GYN),82.97,84.52,85.93,93.39,93.01,97.08,114.51,123.98,82.48,121.29,90.32,86.36,1287,1375,1399,1679,1451,1718,578,5202,1143,4059,Professional; Knowledgeable; Skilled; Reassuring; Respect,Overpriced; Unavailable doctors; Not recommended; Indifferent; Unhygienic
Al Noor Specialist Hospital,Good,25.109006,55.493765,Dubai,304,39344,35747,38990,43392,47746,51565,"Ear, Nose, and Throat (ENT) / Otolaryngology; Dental and Oral Surgery; Intensive Care Unit (ICU); Physiotherapy and Rehabilitation; Orthopedics; Internal Medicine; Ophthalmology (Eye care); Obstetrics and Gynecology (OB/GYN); Anesthesiology; Radiology; Endocrinology (Hormonal disorders); Gastroenterology (Digestive system); Neurology; Cardiology",58.71,61,58.81,56.06,58.09,59.8,61.56,69.55,82.18,56.3,49.81,70.71,4588,4183,4825,5681,5787,5535,124,2852,1023,1829,Great staff; Attentive; Follow-up care,Delayed treatment
Rahma Polyclinic,Good,23.037797,53.111933,Abu Dhabi,327,7189,6882,7591,8262,7774,7852,"Ophthalmology (Eye care); Radiology; Ear, Nose, and Throat (ENT) / Otolaryngology; Obstetrics and Gynecology (OB/GYN); Pediatrics; Psychiatry and Mental Health; Internal Medicine; Dermatology; Oncology (Cancer treatment); Physiotherapy and Rehabilitation; Anesthesiology; Orthopedics",73.77,74.13,76.59,79.42,84.72,85.51,97.54,71.57,96.95,76.06,83.26,120.67,255,290,302,273,302,330,450,4050,2549,1501,Organized; Comforting; Supportive; Calm; Well-equipped,Not responsive; Poor hygiene; Not recommended; Unhygienic
Al Amal Clinic,Very Bad,25.486161,55.562388,Sharjah,24,11516,12522,12262,11191,11640,13040,Internal Medicine; Dermatology; Gastroenterology (Digestive system); Intensive Care Unit (ICU); Psychiatry and Mental Health; Cardiology; Anesthesiology; Pediatrics,141.01,145.07,146.54,154.58,147.57,141.5,132.26,157.59,187.85,150.47,205.22,208.18,1050,929,884,1080,971,924,831,47367,21275,26092,Attentive,Incompetent; Inconsiderate; Unavailable doctors; Poor hygiene; Mismanaged
Saada Polyclinic,Very Bad,25.403457,56.286454,Fujairah,91,83514,78038,72371,70476,67933,65498,Obstetrics and Gynecology (OB/GYN); Endocrinology (Hormonal disorders); Ophthalmology (Eye care); Pulmonology (Respiratory care); Pediatrics,85.4,84.48,82.73,87.67,94.96,95.75,94.99,91.54,108.02,109.16,125.97,137.15,2609,3183,3106,3344,3982,3857,646,7106,3769,3337,Great staff,Long wait; Bad experience; Overcrowded
Hayat Specialist Hospital,Very Bad,25.513017,55.876993,Ras Al Khaimah,893,87204,83367,83231,76653,70788,64519,Pediatrics; Cardiology; Intensive Care Unit (ICU); Endocrinology (Hormonal disorders); Neurology; Orthopedics; General Surgery; Psychiatry and Mental Health; Dermatology; Infectious Diseases,66.5,65.18,67.57,71.58,69.18,66.61,81.86,71.85,77.6,66.69,67.53,87.61,2071,2082,1875,1778,1557,1664,247,22230,9655,12575,Compassionate,Billing issues; Dirty; Ignored
Amal Specialist Hospital,Acceptable,24.037215,53.119144,Abu Dhabi,209,32807,34009,35610,34170,31549,33987,Pulmonology (Respiratory care); Physiotherapy and Rehabilitation; Gastroenterology (Digestive system); Radiology; Pathology and Laboratory Services; Neurology; Orthopedics; Obstetrics and Gynecology (OB/GYN); Intensive Care Unit (ICU); Psychiatry and Mental Health; Emergency Medicine; Endocrinology (Hormonal disorders); Oncology (Cancer treatment); Dental and Oral Surgery; Anesthesiology,179.17,196.25,189.82,191.88,183.78,177.81,235.24,242.86,217.59,224.68,150.57,256.72,2536,2317,2866,3504,3160,3590,314,13816,7915,5901,Fast service; Knowledgeable; Clean environment,Unhygienic; Cold attitude
Al Rahma Medical Center,Acceptable,25.236913,55.614558,Sharjah,165,62591,58295,54841,56711,62031,62357,Ophthalmology (Eye care); Gastroenterology (Digestive system); Emergency Medicine; Internal Medicine; General Surgery; Oncology (Cancer treatment); Nephrology (Kidney care); Orthopedics; Pathology and Laboratory Services,127.73,138.87,132.5,139.48,144.59,151.62,173.4,164.79,110.71,175.27,172.66,139.28,3496,3899,3835,4384,3942,4689,886,17720,9613,8107,Prompt attention; Clean rooms; Good communication; Great staff; Patient,Overcrowded; Not responsive
Rahma Specialist Hospital,Very Good,25.667114,55.841644,Ras Al Khaimah,56,20588,20369,21077,23516,22154,20432,"Anesthesiology; Endocrinology (Hormonal disorders); Radiology; Urology; Intensive Care Unit (ICU); Oncology (Cancer treatment); Emergency Medicine; Dermatology; Gastroenterology (Digestive system); General Surgery; Ear, Nose, and Throat (ENT) / Otolaryngology; Internal Medicine; Obstetrics and Gynecology (OB/GYN); Pulmonology (Respiratory care); Pathology and Laboratory Services",77.9,82.03,89.48,86.85,83.02,81.6,111.94,99.29,73.04,94.02,70.5,65.83,1605,1686,1858,1591,1393,1675,961,67270,19879,47391,Great staff; Comforting,Insensitive
